Capture Number,Time,CIS Setting,Gain,Inttime,Frame Rate,LUX,Capture Name,frame_rate_Most_Fast,frame_rate_Most_Slow,frame_rate_Most_AVG
87,240508_170332,HIGH_12F,3,100000,9,156
88,240508_170332,HIGH_12F,3,100000,14,156
89,240508_170332,HIGH_12F,3,100000,11,156
90,240508_170332,HIGH_12F,3,100000,11,156
91,240508_170332,HIGH_12F,3,100000,12,156
92,240508_170332,HIGH_12F,3,100000,10,156
93,240508_170332,HIGH_12F,3,100000,12,156
94,240508_170332,HIGH_12F,3,100000,11,156
95,240508_170332,HIGH_12F,3,100000,10,156
96,240508_170332,HIGH_12F,3,100000,14,156
97,240508_170332,HIGH_12F,3,100000,11,156
98,240508_170332,HIGH_12F,3,100000,10,156
99,240508_170332,HIGH_12F,3,100000,14,156
100,240508_170332,HIGH_12F,3,100000,11,156
101,240508_170332,HIGH_12F,3,100000,11,156
102,240508_170332,HIGH_12F,3,100000,13,156
103,240508_170332,HIGH_12F,3,100000,10,156
104,240508_170332,HIGH_12F,3,100000,12,156
105,240508_170332,HIGH_12F,3,100000,11,156
106,240508_170332,HIGH_12F,3,100000,9,156
107,240508_170332,HIGH_12F,3,100000,12,156
108,240508_170332,HIGH_12F,3,100000,11,156
109,240508_170332,HIGH_12F,3,100000,8,156
110,240508_170332,HIGH_12F,3,100000,15,156
111,240508_170332,HIGH_12F,3,100000,11,156
112,240508_170332,HIGH_12F,3,100000,11,156
113,240508_170332,HIGH_12F,3,100000,11,156
114,240508_170332,HIGH_12F,3,100000,11,156
115,240508_170332,HIGH_12F,3,100000,11,156
116,240508_170332,HIGH_12F,3,100000,10,156
117,240508_170332,HIGH_12F,3,100000,9,156
118,240508_170332,HIGH_12F,3,100000,13,156
119,240508_170332,HIGH_12F,3,100000,11,156
120,240508_170332,HIGH_12F,3,100000,9,156
121,240508_170332,HIGH_12F,3,100000,14,156
122,240508_170332,HIGH_12F,3,100000,11,156
123,240508_170332,HIGH_12F,3,100000,11,156
124,240508_170332,HIGH_12F,3,100000,14,156
125,240508_170332,HIGH_12F,3,100000,11,156
126,240508_170332,HIGH_12F,3,100000,11,156
127,240508_170332,HIGH_12F,3,100000,11,156
128,240508_170332,HIGH_12F,3,100000,9,156
129,240508_170332,HIGH_12F,3,100000,12,156
130,240508_170332,HIGH_12F,3,100000,11,156
131,240508_170332,HIGH_12F,3,100000,9,156
132,240508_170332,HIGH_12F,3,100000,16,156
133,240508_170332,HIGH_12F,3,100000,11,156
134,240508_170332,HIGH_12F,3,100000,11,156
135,240508_170332,HIGH_12F,3,100000,11,156
136,240508_170332,HIGH_12F,3,100000,10,156
137,240508_170332,HIGH_12F,3,100000,13,156
138,240508_170332,HIGH_12F,3,100000,11,156
139,240508_170332,HIGH_12F,3,100000,10,156
140,240508_170332,HIGH_12F,3,100000,13,156
141,240508_170332,HIGH_12F,3,100000,11,156
142,240508_170332,HIGH_12F,3,100000,10,156
143,240508_170332,HIGH_12F,3,100000,11,156
144,240508_170332,HIGH_12F,3,100000,11,156
145,240508_170332,HIGH_12F,3,100000,12,156
146,240508_170332,HIGH_12F,3,100000,11,156
147,240508_170332,HIGH_12F,3,100000,10,156
148,240508_170332,HIGH_12F,3,100000,13,156
149,240508_170332,HIGH_12F,3,100000,11,156
150,240508_170332,HIGH_12F,3,100000,11,156
151,240508_170332,HIGH_12F,3,100000,11,156
152,240508_170332,HIGH_12F,3,100000,11,156
153,240508_170332,HIGH_12F,3,100000,12,156
154,240508_170332,HIGH_12F,3,100000,10,156
155,240508_170332,HIGH_12F,3,100000,12,156
156,240508_170332,HIGH_12F,3,100000,11,156
157,240508_170332,HIGH_12F,3,100000,10,156
158,240508_170332,HIGH_12F,3,100000,13,156
159,240508_170332,HIGH_12F,3,100000,11,156
160,240508_170332,HIGH_12F,3,100000,10,156
161,240508_170332,HIGH_12F,3,100000,13,156
162,240508_170332,HIGH_12F,3,100000,11,156
163,240508_170332,HIGH_12F,3,100000,25,156
164,240508_170332,HIGH_12F,3,100000,11,156
165,240508_170332,HIGH_12F,3,100000,10,156
166,240508_170332,HIGH_12F,3,100000,13,156
167,240508_170332,HIGH_12F,3,100000,11,156
168,240508_170332,HIGH_12F,3,100000,11,156
169,240508_170332,HIGH_12F,3,100000,11,156
